file_stem,file_name,relative_path,level_1_dir,level_2_dir,level_3_dir,quality_label,quality_reason,visible_chars,chinese_chars,english_chars,digits,abnormal_chars,punctuation_noise,garbled_segments,chinese_ratio,abnormal_ratio,noise_ratio,json_path
2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）,2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.pdf,high_quality,readable_chinese_text,66500,47490,2627,7559,1,0,0,0.7141,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\2018（306号OA）附件8：中国华能集团有限公司风力发电场绝缘监督标准（2018版）.json
DLT 555-2004 气体绝缘金属封闭开关设备现场耐压及绝缘试验导则,DLT 555-2004 气体绝缘金属封闭开关设备现场耐压及绝缘试验导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 555-2004 气体绝缘金属封闭开关设备现场耐压及绝缘试验导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 555-2004 气体绝缘金属封闭开关设备现场耐压及绝缘试验导则.pdf,high_quality,readable_chinese_text,6537,5007,463,458,0,0,2,0.7659,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 555-2004 气体绝缘金属封闭开关设备现场耐压及绝缘试验导则.json
DLT 573-2021 电力变压器检修导则,DLT 573-2021 电力变压器检修导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 573-2021 电力变压器检修导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 573-2021 电力变压器检修导则.pdf,mixed_quality,partially_readable,52609,42418,2384,2725,5,0,4,0.8063,0.0001,0.0001,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 573-2021 电力变压器检修导则.json
DLT 574-2021 电力变压器分接开关运行维修导则,DLT 574-2021 电力变压器分接开关运行维修导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 574-2021 电力变压器分接开关运行维修导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 574-2021 电力变压器分接开关运行维修导则.pdf,high_quality,readable_chinese_text,79653,60064,4796,5927,1,0,0,0.7541,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 574-2021 电力变压器分接开关运行维修导则.json
DLT 620-1997 交流电气装置的过电压保护和绝缘配合,DLT 620-1997 交流电气装置的过电压保护和绝缘配合.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 620-1997 交流电气装置的过电压保护和绝缘配合.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 620-1997 交流电气装置的过电压保护和绝缘配合.pdf,high_quality,readable_chinese_text,31049,20740,2580,3392,0,0,2,0.668,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 620-1997 交流电气装置的过电压保护和绝缘配合.json
DLT 725-2013 电力用电流互感器使用技术规范,DLT 725-2013 电力用电流互感器使用技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 725-2013 电力用电流互感器使用技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 725-2013 电力用电流互感器使用技术规范.pdf,low_quality,garbled_or_noisy,27873,27,13894,2876,2291,6,344,0.001,0.0822,0.0824,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 725-2013 电力用电流互感器使用技术规范.json
DLT 726-2013 电力用电磁式电压互感器使用技术规范,DLT 726-2013 电力用电磁式电压互感器使用技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 726-2013 电力用电磁式电压互感器使用技术规范.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 726-2013 电力用电磁式电压互感器使用技术规范.pdf,low_quality,garbled_or_noisy,26672,18,13597,2768,1839,0,311,0.0007,0.0689,0.0689,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 726-2013 电力用电磁式电压互感器使用技术规范.json
DLT 804-2014 交流电力系统金属氧化物避雷器使用导则,DLT 804-2014 交流电力系统金属氧化物避雷器使用导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 804-2014 交流电力系统金属氧化物避雷器使用导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 804-2014 交流电力系统金属氧化物避雷器使用导则.pdf,high_quality,readable_chinese_text,29961,21907,2186,2356,75,0,2,0.7312,0.0025,0.0025,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 804-2014 交流电力系统金属氧化物避雷器使用导则.json
DLT 887-2004_杆塔工频接地电阻测量,DLT 887-2004_杆塔工频接地电阻测量.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 887-2004_杆塔工频接地电阻测量.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DLT 887-2004_杆塔工频接地电阻测量.pdf,high_quality,readable_chinese_text,5596,3876,610,510,0,0,0,0.6926,0.0,0.0,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DLT 887-2004_杆塔工频接地电阻测量.json
DL∕T 475-2017 接地装置特性参数测量导则,DL∕T 475-2017 接地装置特性参数测量导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DL∕T 475-2017 接地装置特性参数测量导则.pdf,中国华能集团有限公司2025年度风电技术监督用标准,1-风电绝缘监督标准,DL∕T 475-2017 接地装置特性参数测量导则.pdf,mixed_quality,partially_readable,18321,13514,1488,1407,13,0,5,0.7376,0.0007,0.0007,E:\WORK\data\cleaned_text\中国华能集团有限公司2025年度风电技术监督用标准\1-风电绝缘监督标准\DL∕T 475-2017 接地装置特性参数测量导则.json
